Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 81.5,Team Total,DraftKings,81.5,500.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 61.5,Team Total,DraftKings,61.5,450.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 62.5,Team Total,DraftKings,62.5,380.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 63.5,Team Total,DraftKings,63.5,320.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 64.5,Team Total,DraftKings,64.5,265.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 65.5,Team Total,DraftKings,65.5,220.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 66.5,Team Total,DraftKings,66.5,185.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 67.5,Team Total,DraftKings,67.5,155.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 68.5,Team Total,DraftKings,68.5,130.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 69.5,Team Total,DraftKings,69.5,105.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 71.5,Team Total,DraftKings,71.5,-135.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 72.5,Team Total,DraftKings,72.5,-160.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 73.5,Team Total,DraftKings,73.5,-190.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 74.5,Team Total,DraftKings,74.5,-230.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 75.5,Team Total,DraftKings,75.5,-280.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 76.5,Team Total,DraftKings,76.5,-340.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 77.5,Team Total,DraftKings,77.5,-425.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 78.5,Team Total,DraftKings,78.5,-525.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 79.5,Team Total,DraftKings,79.5,-650.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 80.5,Team Total,DraftKings,80.5,-800.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Under 81.5,Team Total,DraftKings,81.5,-1100.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada,Moneyline,DraftKings,,-166.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State,Moneyline,DraftKings,,140.0
29382-35775-2024-12-31,Nevada vs Utah State,Over 144,Total Points,DraftKings,144.0,-112.0
29382-35775-2024-12-31,Nevada vs Utah State,Under 144,Total Points,DraftKings,144.0,-108.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada -3,Point Spread,DraftKings,-3.0,-108.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State +3,Point Spread,DraftKings,3.0,-112.0
